id,company_name,industry,sub_industry,city,state,website,phone,contact_email,employee_count,estimated_revenue,founded_year,linkedin_url,growth_signals,source,description
88,Vanguard Beverage Co,Food & Beverage,Food Distribution,Tucson,AZ,https://www.vanguardbeverageco.com,(381) 254-3242,info@vanguardbeverageco.com,167,18170000,1977,,,Industry Directory,"Vanguard Beverage Co is a food distribution business based in Tucson, AZ, operating in the food & beverage space since 1977."
89,Sterling Academy,Education & Training,Corporate Training,Indianapolis,IN,https://www.sterlingacademy.com,(934) 840-8037,info@sterlingacademy.com,215,46580000,1982,,website redesign,LinkedIn Company Search,"Sterling Academy is a corporate training business based in Indianapolis, IN, operating in the education & training space since 1982."
90,Timber Industrial,Manufacturing,Metal Fabrication,Boise,ID,https://www.timberindustrial.com,(331) 342-3108,info@timberindustrial.com,36,7920000,1983,https://www.linkedin.com/company/timberindustrial,website redesign;new location opened,Google Maps,"Timber Industrial is a metal fabrication business based in Boise, ID, operating in the manufacturing space since 1983."
91,Westbrook Development,Construction,Landscaping,Kansas City,MO,https://www.westbrookdevelopment.com,(189) 569-9049,info@westbrookdevelopment.com,87,21190000,1988,https://www.linkedin.com/company/westbrookdevelopment,,State Business Registry,"Westbrook Development is a landscaping business based in Kansas City, MO, operating in the construction space since 1988."
92,Vanguard & Associates,Professional Services,Staffing Agency,Tucson,AZ,https://www.vanguardassociates.com,(201) 260-1070,info@vanguardassociates.com,89,10940000,1985,https://www.linkedin.com/company/vanguardassociates,recent leadership change;expanded service area;new location opened,Google Maps,"Vanguard & Associates is a staffing agency business based in Tucson, AZ, operating in the professional services space since 1985."
93,Riverside Construction Group,Construction,Landscaping,Columbus,OH,https://www.riversideconstructiongroup.com,(174) 994-7441,info@riversideconstructiongroup.com,180,24190000,1994,https://www.linkedin.com/company/riversideconstructiongroup,website redesign,State Business Registry,"Riverside Construction Group is a landscaping business based in Columbus, OH, operating in the construction space since 1994."
94,Meridian Freight,Logistics & Distribution,Warehousing,Sacramento,CA,https://www.meridianfreight.com,,info@meridianfreight.com,79,20200000,2020,https://www.linkedin.com/company/meridianfreight,hiring;website redesign,Google Maps,"Meridian Freight is a warehousing business based in Sacramento, CA, operating in the logistics & distribution space since 2020."
95,Sterling Construction Group,Construction,General Contracting,Richmond,VA,https://www.sterlingconstructiongroup.com,(259) 663-3560,info@sterlingconstructiongroup.com,50,4680000,1976,https://www.linkedin.com/company/sterlingconstructiongroup,hiring,Google Maps,"Sterling Construction Group is a general contracting business based in Richmond, VA, operating in the construction space since 1976."
96,Pioneer Education Partners,Education & Training,Vocational School,Richmond,VA,https://www.pioneereducationpartners.com,,info@pioneereducationpartners.com,206,37510000,1978,https://www.linkedin.com/company/pioneereducationpartners,website redesign;recent leadership change;expanded service area,LinkedIn Company Search,"Pioneer Education Partners is a vocational school business based in Richmond, VA, operating in the education & training space since 1978."
97,Highland Home Services,HVAC & Home Services,Electrical,Cincinnati,OH,https://www.highlandhomeservices.com,(603) 653-4490,info@highlandhomeservices.com,140,20220000,2013,https://www.linkedin.com/company/highlandhomeservices,new location opened;press mention,LinkedIn Company Search,"Highland Home Services is a electrical business based in Cincinnati, OH, operating in the hvac & home services space since 2013."
98,Coastal & Associates,Professional Services,Staffing Agency,Salt Lake City,UT,https://www.coastalassociates.com,(864) 623-2842,info@coastalassociates.com,43,10020000,1976,https://www.linkedin.com/company/coastalassociates,hiring;expanded service area;new location opened,State Business Registry,"Coastal & Associates is a staffing agency business based in Salt Lake City, UT, operating in the professional services space since 1976."
99,Apex Manufacturing,Manufacturing,Industrial Equipment,Cincinnati,OH,https://www.apexmanufacturing.com,(506) 617-3833,info@apexmanufacturing.com,135,33780000,1977,https://www.linkedin.com/company/apexmanufacturing,,Google Maps,"Apex Manufacturing is a industrial equipment business based in Cincinnati, OH, operating in the manufacturing space since 1977."
100,Union Wellness,Healthcare Services,Dental Practice,Sacramento,CA,https://www.unionwellness.com,(314) 811-3138,info@unionwellness.com,183,38010000,1988,https://www.linkedin.com/company/unionwellness,press mention;new location opened;recent leadership change,Industry Directory,"Union Wellness is a dental practice business based in Sacramento, CA, operating in the healthcare services space since 1988."
101,Coastal Auto Group,Automotive Services,Auto Parts Distribution,Kansas City,MO,https://www.coastalautogroup.com,(938) 733-5997,info@coastalautogroup.com,143,36930000,2003,https://www.linkedin.com/company/coastalautogroup,recent leadership change;hiring,Industry Directory,"Coastal Auto Group is a auto parts distribution business based in Kansas City, MO, operating in the automotive services space since 2003."
102,Granite Clinic Group,Healthcare Services,Physical Therapy,Boise,ID,https://www.graniteclinicgroup.com,(355) 169-2984,info@graniteclinicgroup.com,105,15250000,1981,https://www.linkedin.com/company/graniteclinicgroup,hiring;press mention,LinkedIn Company Search,"Granite Clinic Group is a physical therapy business based in Boise, ID, operating in the healthcare services space since 1981."
103,Summit Clinic Group,Healthcare Services,Physical Therapy,Cincinnati,OH,https://www.summitclinicgroup.com,(129) 449-7991,info@summitclinicgroup.com,192,27930000,2021,,website redesign,Industry Directory,"Summit Clinic Group is a physical therapy business based in Cincinnati, OH, operating in the healthcare services space since 2021."
104,Northgate Works,Manufacturing,Precision Machining,Tampa,FL,https://www.northgateworks.com,,info@northgateworks.com,29,4360000,2019,https://www.linkedin.com/company/northgateworks,expanded service area,State Business Registry,"Northgate Works is a precision machining business based in Tampa, FL, operating in the manufacturing space since 2019."
105,Riverside Home Services,HVAC & Home Services,Roofing,Pittsburgh,PA,,(568) 888-4596,,173,38310000,1991,https://www.linkedin.com/company/riversidehomeservices,expanded service area;hiring;website redesign,Google Maps,"Riverside Home Services is a roofing business based in Pittsburgh, PA, operating in the hvac & home services space since 1991."
106,Union Academy,Education & Training,Tutoring Services,Boise,ID,,(803) 141-7129,,159,42740000,2006,https://www.linkedin.com/company/unionacademy,new location opened,Google Maps,"Union Academy is a tutoring services business based in Boise, ID, operating in the education & training space since 2006."
107,Ironwood Logistics,Logistics & Distribution,Warehousing,Boise,ID,https://www.ironwoodlogistics.com,(533) 966-2213,info@ironwoodlogistics.com,247,65630000,2002,https://www.linkedin.com/company/ironwoodlogistics,new location opened;press mention,Google Maps,"Ironwood Logistics is a warehousing business based in Boise, ID, operating in the logistics & distribution space since 2002."
108,Highland Care Network,Healthcare Services,Home Health Care,Tampa,FL,https://www.highlandcarenetwork.com,(907) 634-8096,info@highlandcarenetwork.com,7,970000,2019,https://www.linkedin.com/company/highlandcarenetwork,recent leadership change;press mention,State Business Registry,"Highland Care Network is a home health care business based in Tampa, FL, operating in the healthcare services space since 2019."
109,Redstone Comfort Systems,HVAC & Home Services,Roofing,Tampa,FL,https://www.redstonecomfortsystems.com,(460) 382-1398,info@redstonecomfortsystems.com,180,43330000,1998,https://www.linkedin.com/company/redstonecomfortsystems,hiring,LinkedIn Company Search,"Redstone Comfort Systems is a roofing business based in Tampa, FL, operating in the hvac & home services space since 1998."
110,Anchor Kitchen Co,Food & Beverage,Catering,Raleigh,NC,https://www.anchorkitchenco.com,(638) 238-4637,info@anchorkitchenco.com,178,44930000,2020,https://www.linkedin.com/company/anchorkitchenco,new location opened;press mention,LinkedIn Company Search,"Anchor Kitchen Co is a catering business based in Raleigh, NC, operating in the food & beverage space since 2020."
111,Ironwood Construction Group,Construction,Landscaping,Pittsburgh,PA,https://www.ironwoodconstructiongroup.com,(981) 204-1272,info@ironwoodconstructiongroup.com,31,2790000,2011,https://www.linkedin.com/company/ironwoodconstructiongroup,new location opened,State Business Registry,"Ironwood Construction Group is a landscaping business based in Pittsburgh, PA, operating in the construction space since 2011."
112,Redstone Freight,Logistics & Distribution,Freight Brokerage,Pittsburgh,PA,https://www.redstonefreight.com,(627) 611-8864,info@redstonefreight.com,75,19480000,1983,https://www.linkedin.com/company/redstonefreight,recent leadership change,LinkedIn Company Search,"Redstone Freight is a freight brokerage business based in Pittsburgh, PA, operating in the logistics & distribution space since 1983."
113,Bluepeak Provisions,Food & Beverage,Food Distribution,Richmond,VA,https://www.bluepeakprovisions.com,(193) 393-6987,info@bluepeakprovisions.com,70,12370000,2002,https://www.linkedin.com/company/bluepeakprovisions,expanded service area;hiring,State Business Registry,"Bluepeak Provisions is a food distribution business based in Richmond, VA, operating in the food & beverage space since 2002."
114,Cedarbrook Manufacturing,Manufacturing,Industrial Equipment,Austin,TX,https://www.cedarbrookmanufacturing.com,(501) 317-6527,info@cedarbrookmanufacturing.com,106,21040000,1992,https://www.linkedin.com/company/cedarbrookmanufacturing,,Industry Directory,"Cedarbrook Manufacturing is a industrial equipment business based in Austin, TX, operating in the manufacturing space since 1992."
115,Foundry Wellness,Healthcare Services,Home Health Care,Denver,CO,https://www.foundrywellness.com,(505) 756-9118,info@foundrywellness.com,26,5670000,2017,https://www.linkedin.com/company/foundrywellness,new location opened;hiring,Google Maps,"Foundry Wellness is a home health care business based in Denver, CO, operating in the healthcare services space since 2017."
116,Crestline Provisions,Food & Beverage,Catering,Charlotte,NC,https://www.crestlineprovisions.com,(668) 651-2093,info@crestlineprovisions.com,162,37470000,2014,https://www.linkedin.com/company/crestlineprovisions,recent leadership change;new location opened,LinkedIn Company Search,"Crestline Provisions is a catering business based in Charlotte, NC, operating in the food & beverage space since 2014."
117,Cascade IT Group,IT Services & MSP,Software Support,Denver,CO,https://www.cascadeitgroup.com,(775) 980-7290,info@cascadeitgroup.com,109,22990000,1998,https://www.linkedin.com/company/cascadeitgroup,website redesign;expanded service area,State Business Registry,"Cascade IT Group is a software support business based in Denver, CO, operating in the it services & msp space since 1998."
118,Ironwood Health Partners,Healthcare Services,Dental Practice,Columbus,OH,https://www.ironwoodhealthpartners.com,(738) 123-3546,info@ironwoodhealthpartners.com,219,56860000,2009,https://www.linkedin.com/company/ironwoodhealthpartners,hiring,State Business Registry,"Ironwood Health Partners is a dental practice business based in Columbus, OH, operating in the healthcare services space since 2009."
119,Westbrook Advisors,Professional Services,Marketing Agency,Austin,TX,https://www.westbrookadvisors.com,(542) 904-9068,info@westbrookadvisors.com,221,44510000,2006,,expanded service area,LinkedIn Company Search,"Westbrook Advisors is a marketing agency business based in Austin, TX, operating in the professional services space since 2006."
120,Riverside Clinic Group,Healthcare Services,Urgent Care,Austin,TX,https://www.riversideclinicgroup.com,(781) 414-6933,info@riversideclinicgroup.com,12,2700000,2001,https://www.linkedin.com/company/riversideclinicgroup,hiring,Industry Directory,"Riverside Clinic Group is a urgent care business based in Austin, TX, operating in the healthcare services space since 2001."
121,Ironwood Consulting Group,Professional Services,Staffing Agency,Pittsburgh,PA,https://www.ironwoodconsultinggroup.com,(313) 854-3113,info@ironwoodconsultinggroup.com,248,66450000,1977,https://www.linkedin.com/company/ironwoodconsultinggroup,,LinkedIn Company Search,"Ironwood Consulting Group is a staffing agency business based in Pittsburgh, PA, operating in the professional services space since 1977."
122,Summit Construction Group,Construction,Specialty Trades,Omaha,NE,https://www.summitconstructiongroup.com,(558) 156-8310,info@summitconstructiongroup.com,23,2620000,1990,https://www.linkedin.com/company/summitconstructiongroup,new location opened;expanded service area;recent leadership change,State Business Registry,"Summit Construction Group is a specialty trades business based in Omaha, NE, operating in the construction space since 1990."
123,Ironwood Industrial,Manufacturing,Packaging,Raleigh,NC,https://www.ironwoodindustrial.com,(349) 296-8300,info@ironwoodindustrial.com,154,37260000,1991,https://www.linkedin.com/company/ironwoodindustrial,press mention,State Business Registry,"Ironwood Industrial is a packaging business based in Raleigh, NC, operating in the manufacturing space since 1991."
124,Pioneer Consulting Group,Professional Services,Accounting Firm,Kansas City,MO,https://www.pioneerconsultinggroup.com,(130) 483-2171,info@pioneerconsultinggroup.com,199,30260000,2016,https://www.linkedin.com/company/pioneerconsultinggroup,press mention,Industry Directory,"Pioneer Consulting Group is a accounting firm business based in Kansas City, MO, operating in the professional services space since 2016."
125,Lakeside Logistics,Logistics & Distribution,Freight Brokerage,Indianapolis,IN,https://www.lakesidelogistics.com,(736) 720-1102,info@lakesidelogistics.com,249,26550000,1991,https://www.linkedin.com/company/lakesidelogistics,new location opened;press mention;recent leadership change,Industry Directory,"Lakeside Logistics is a freight brokerage business based in Indianapolis, IN, operating in the logistics & distribution space since 1991."
126,Union IT Group,IT Services & MSP,Cybersecurity,Pittsburgh,PA,https://www.unionitgroup.com,(670) 489-5021,info@unionitgroup.com,91,14920000,2022,https://www.linkedin.com/company/unionitgroup,expanded service area;new location opened,Industry Directory,"Union IT Group is a cybersecurity business based in Pittsburgh, PA, operating in the it services & msp space since 2022."
127,Summit Air Solutions,HVAC & Home Services,HVAC Installation,Denver,CO,https://www.summitairsolutions.com,(950) 124-7024,info@summitairsolutions.com,114,20720000,1980,https://www.linkedin.com/company/summitairsolutions,website redesign,State Business Registry,"Summit Air Solutions is a hvac installation business based in Denver, CO, operating in the hvac & home services space since 1980."
128,Redstone Beverage Co,Food & Beverage,Craft Beverage,Denver,CO,https://www.redstonebeverageco.com,(601) 130-4103,info@redstonebeverageco.com,18,4470000,2021,https://www.linkedin.com/company/redstonebeverageco,recent leadership change;press mention,State Business Registry,"Redstone Beverage Co is a craft beverage business based in Denver, CO, operating in the food & beverage space since 2021."
129,Lakeside Air Solutions,HVAC & Home Services,Electrical,Boise,ID,,(390) 249-6116,,20,2900000,2005,https://www.linkedin.com/company/lakesideairsolutions,,Google Maps,"Lakeside Air Solutions is a electrical business based in Boise, ID, operating in the hvac & home services space since 2005."
130,Apex Works,Manufacturing,Industrial Equipment,Phoenix,AZ,https://www.apexworks.com,(105) 181-6276,info@apexworks.com,206,29990000,2023,https://www.linkedin.com/company/apexworks,new location opened,State Business Registry,"Apex Works is a industrial equipment business based in Phoenix, AZ, operating in the manufacturing space since 2023."
131,Sterling Auto Group,Automotive Services,Car Wash Chain,Columbus,OH,https://www.sterlingautogroup.com,(340) 564-2990,info@sterlingautogroup.com,49,4720000,1994,https://www.linkedin.com/company/sterlingautogroup,hiring,Google Maps,"Sterling Auto Group is a car wash chain business based in Columbus, OH, operating in the automotive services space since 1994."
132,Bluepeak Technologies,IT Services & MSP,Cybersecurity,Omaha,NE,https://www.bluepeaktechnologies.com,(353) 871-7922,info@bluepeaktechnologies.com,240,39570000,1995,https://www.linkedin.com/company/bluepeaktechnologies,,LinkedIn Company Search,"Bluepeak Technologies is a cybersecurity business based in Omaha, NE, operating in the it services & msp space since 1995."
133,Northgate Home Services,HVAC & Home Services,Roofing,Charlotte,NC,https://www.northgatehomeservices.com,(698) 696-9351,info@northgatehomeservices.com,235,62300000,2008,https://www.linkedin.com/company/northgatehomeservices,hiring,State Business Registry,"Northgate Home Services is a roofing business based in Charlotte, NC, operating in the hvac & home services space since 2008."
134,Harbor Beverage Co,Food & Beverage,Commercial Bakery,Raleigh,NC,https://www.harborbeverageco.com,(352) 101-3499,info@harborbeverageco.com,84,12030000,1998,https://www.linkedin.com/company/harborbeverageco,new location opened,Google Maps,"Harbor Beverage Co is a commercial bakery business based in Raleigh, NC, operating in the food & beverage space since 1998."
135,Highland IT Group,IT Services & MSP,Cybersecurity,Cincinnati,OH,https://www.highlanditgroup.com,(122) 851-6838,info@highlanditgroup.com,212,51680000,1985,https://www.linkedin.com/company/highlanditgroup,hiring,Google Maps,"Highland IT Group is a cybersecurity business based in Cincinnati, OH, operating in the it services & msp space since 1985."
136,Westbrook Logistics,Logistics & Distribution,Warehousing,Salt Lake City,UT,https://www.westbrooklogistics.com,,info@westbrooklogistics.com,28,6480000,2011,https://www.linkedin.com/company/westbrooklogistics,expanded service area,Industry Directory,"Westbrook Logistics is a warehousing business based in Salt Lake City, UT, operating in the logistics & distribution space since 2011."
137,Harbor Logistics,Logistics & Distribution,Last-Mile Delivery,Denver,CO,https://www.harborlogistics.com,(645) 348-1585,info@harborlogistics.com,212,38130000,1983,https://www.linkedin.com/company/harborlogistics,new location opened,Google Maps,"Harbor Logistics is a last-mile delivery business based in Denver, CO, operating in the logistics & distribution space since 1983."
138,Vanguard Development,Construction,Commercial Construction,Omaha,NE,https://www.vanguarddevelopment.com,(234) 901-9537,info@vanguarddevelopment.com,243,57960000,2013,,expanded service area,State Business Registry,"Vanguard Development is a commercial construction business based in Omaha, NE, operating in the construction space since 2013."
139,Apex IT Group,IT Services & MSP,Managed IT,Sacramento,CA,https://www.apexitgroup.com,(549) 362-6950,info@apexitgroup.com,126,31730000,2005,https://www.linkedin.com/company/apexitgroup,recent leadership change;new location opened;hiring,Google Maps,"Apex IT Group is a managed it business based in Sacramento, CA, operating in the it services & msp space since 2005."
140,Northgate Clinic Group,Healthcare Services,Dental Practice,Austin,TX,https://www.northgateclinicgroup.com,(757) 275-3524,info@northgateclinicgroup.com,45,6980000,2001,https://www.linkedin.com/company/northgateclinicgroup,expanded service area,Google Maps,"Northgate Clinic Group is a dental practice business based in Austin, TX, operating in the healthcare services space since 2001."
141,Summit Health Partners,Healthcare Services,Physical Therapy,Indianapolis,IN,https://www.summithealthpartners.com,(284) 627-7213,info@summithealthpartners.com,171,20050000,1992,https://www.linkedin.com/company/summithealthpartners,new location opened;hiring;press mention,Google Maps,"Summit Health Partners is a physical therapy business based in Indianapolis, IN, operating in the healthcare services space since 1992."
142,Timber Home Services,HVAC & Home Services,Plumbing,Tucson,AZ,https://www.timberhomeservices.com,(664) 536-1190,info@timberhomeservices.com,187,38150000,2011,https://www.linkedin.com/company/timberhomeservices,new location opened;hiring;recent leadership change,Google Maps,"Timber Home Services is a plumbing business based in Tucson, AZ, operating in the hvac & home services space since 2011."
143,Foundry Manufacturing,Manufacturing,Precision Machining,Pittsburgh,PA,https://www.foundrymanufacturing.com,(548) 989-3866,info@foundrymanufacturing.com,49,7410000,1980,https://www.linkedin.com/company/foundrymanufacturing,new location opened;website redesign;press mention,State Business Registry,"Foundry Manufacturing is a precision machining business based in Pittsburgh, PA, operating in the manufacturing space since 1980."
144,Pioneer Home Services,HVAC & Home Services,Electrical,Kansas City,MO,,(844) 358-4946,,117,15780000,2011,https://www.linkedin.com/company/pioneerhomeservices,recent leadership change;press mention;website redesign,Google Maps,"Pioneer Home Services is a electrical business based in Kansas City, MO, operating in the hvac & home services space since 2011."
145,Vanguard Clinic Group,Healthcare Services,Physical Therapy,Omaha,NE,,(423) 884-1301,,233,24590000,1981,https://www.linkedin.com/company/vanguardclinicgroup,press mention;expanded service area,LinkedIn Company Search,"Vanguard Clinic Group is a physical therapy business based in Omaha, NE, operating in the healthcare services space since 1981."
146,Summit Kitchen Co,Food & Beverage,Catering,Kansas City,MO,https://www.summitkitchenco.com,(507) 181-1648,info@summitkitchenco.com,143,35520000,1990,https://www.linkedin.com/company/summitkitchenco,website redesign;press mention,Google Maps,"Summit Kitchen Co is a catering business based in Kansas City, MO, operating in the food & beverage space since 1990."
147,Cascade Advisors,Professional Services,Accounting Firm,Tampa,FL,https://www.cascadeadvisors.com,(410) 829-9284,info@cascadeadvisors.com,104,17820000,1999,,expanded service area,Google Maps,"Cascade Advisors is a accounting firm business based in Tampa, FL, operating in the professional services space since 1999."
148,Cedarbrook Development,Construction,General Contracting,Charlotte,NC,https://www.cedarbrookdevelopment.com,(675) 782-1547,info@cedarbrookdevelopment.com,58,10710000,2008,https://www.linkedin.com/company/cedarbrookdevelopment,hiring;expanded service area,State Business Registry,"Cedarbrook Development is a general contracting business based in Charlotte, NC, operating in the construction space since 2008."
149,Foundry Beverage Co,Food & Beverage,Craft Beverage,Austin,TX,https://www.foundrybeverageco.com,(256) 574-7124,info@foundrybeverageco.com,44,4000000,2018,https://www.linkedin.com/company/foundrybeverageco,hiring,State Business Registry,"Foundry Beverage Co is a craft beverage business based in Austin, TX, operating in the food & beverage space since 2018."
150,Vanguard Auto Group,Automotive Services,Car Wash Chain,Nashville,TN,https://www.vanguardautogroup.com,(761) 473-7186,info@vanguardautogroup.com,187,48100000,1995,https://www.linkedin.com/company/vanguardautogroup,hiring,State Business Registry,"Vanguard Auto Group is a car wash chain business based in Nashville, TN, operating in the automotive services space since 1995."
151,Foundry Technologies,IT Services & MSP,Software Support,Cincinnati,OH,https://www.foundrytechnologies.com,(841) 260-7751,info@foundrytechnologies.com,229,48560000,1984,https://www.linkedin.com/company/foundrytechnologies,new location opened,LinkedIn Company Search,"Foundry Technologies is a software support business based in Cincinnati, OH, operating in the it services & msp space since 1984."
152,Ironwood Construction Group,Construction,Landscaping,Phoenix,AZ,https://www.ironwoodconstructiongroup.com,(818) 850-2469,info@ironwoodconstructiongroup.com,152,17850000,1978,https://www.linkedin.com/company/ironwoodconstructiongroup,,Industry Directory,"Ironwood Construction Group is a landscaping business based in Phoenix, AZ, operating in the construction space since 1978."
153,Coastal Service Center,Automotive Services,Car Wash Chain,Denver,CO,https://www.coastalservicecenter.com,(679) 452-3206,info@coastalservicecenter.com,152,36880000,2000,,new location opened;recent leadership change;press mention,State Business Registry,"Coastal Service Center is a car wash chain business based in Denver, CO, operating in the automotive services space since 2000."
154,Pioneer Supply Co,Logistics & Distribution,Last-Mile Delivery,Richmond,VA,https://www.pioneersupplyco.com,(133) 183-2519,info@pioneersupplyco.com,191,27440000,1992,,hiring,State Business Registry,"Pioneer Supply Co is a last-mile delivery business based in Richmond, VA, operating in the logistics & distribution space since 1992."
155,Redstone Health Partners,Healthcare Services,Home Health Care,Tampa,FL,https://www.redstonehealthpartners.com,(894) 939-6857,info@redstonehealthpartners.com,175,30310000,2010,,press mention,LinkedIn Company Search,"Redstone Health Partners is a home health care business based in Tampa, FL, operating in the healthcare services space since 2010."
156,Foundry Industrial,Manufacturing,Packaging,Columbus,OH,https://www.foundryindustrial.com,(683) 263-9765,info@foundryindustrial.com,31,4820000,1995,https://www.linkedin.com/company/foundryindustrial,hiring;website redesign,Google Maps,"Foundry Industrial is a packaging business based in Columbus, OH, operating in the manufacturing space since 1995."
157,Westbrook Service Center,Automotive Services,Car Wash Chain,Omaha,NE,https://www.westbrookservicecenter.com,(810) 135-7666,info@westbrookservicecenter.com,140,14880000,1997,,press mention;hiring,Google Maps,"Westbrook Service Center is a car wash chain business based in Omaha, NE, operating in the automotive services space since 1997."
158,Bluepeak Home Services,HVAC & Home Services,Electrical,Nashville,TN,https://www.bluepeakhomeservices.com,(562) 352-9796,info@bluepeakhomeservices.com,248,52290000,2004,https://www.linkedin.com/company/bluepeakhomeservices,expanded service area,LinkedIn Company Search,"Bluepeak Home Services is a electrical business based in Nashville, TN, operating in the hvac & home services space since 2004."
159,Foundry Health Partners,Healthcare Services,Urgent Care,Richmond,VA,https://www.foundryhealthpartners.com,(442) 104-1170,info@foundryhealthpartners.com,37,5890000,2007,https://www.linkedin.com/company/foundryhealthpartners,recent leadership change,State Business Registry,"Foundry Health Partners is a urgent care business based in Richmond, VA, operating in the healthcare services space since 2007."
160,Westbrook IT Group,IT Services & MSP,Cloud Consulting,Salt Lake City,UT,https://www.westbrookitgroup.com,(819) 952-3483,info@westbrookitgroup.com,230,49500000,1980,https://www.linkedin.com/company/westbrookitgroup,hiring;press mention;website redesign,LinkedIn Company Search,"Westbrook IT Group is a cloud consulting business based in Salt Lake City, UT, operating in the it services & msp space since 1980."
161,Cedarbrook Fleet Co,Automotive Services,Fleet Maintenance,Richmond,VA,https://www.cedarbrookfleetco.com,(209) 820-8259,info@cedarbrookfleetco.com,167,17080000,2020,https://www.linkedin.com/company/cedarbrookfleetco,hiring;new location opened,Industry Directory,"Cedarbrook Fleet Co is a fleet maintenance business based in Richmond, VA, operating in the automotive services space since 2020."
162,Sterling Motorworks,Automotive Services,Fleet Maintenance,Cincinnati,OH,https://www.sterlingmotorworks.com,(778) 992-1855,info@sterlingmotorworks.com,81,14780000,1985,https://www.linkedin.com/company/sterlingmotorworks,recent leadership change,Google Maps,"Sterling Motorworks is a fleet maintenance business based in Cincinnati, OH, operating in the automotive services space since 1985."
163,Cascade Learning Group,Education & Training,Vocational School,Boise,ID,https://www.cascadelearninggroup.com,(227) 543-8428,info@cascadelearninggroup.com,10,2210000,1985,https://www.linkedin.com/company/cascadelearninggroup,new location opened,LinkedIn Company Search,"Cascade Learning Group is a vocational school business based in Boise, ID, operating in the education & training space since 1985."
164,Anchor Home Services,HVAC & Home Services,Plumbing,Tucson,AZ,https://www.anchorhomeservices.com,(523) 328-4748,info@anchorhomeservices.com,233,22970000,1999,https://www.linkedin.com/company/anchorhomeservices,hiring,Industry Directory,"Anchor Home Services is a plumbing business based in Tucson, AZ, operating in the hvac & home services space since 1999."
165,Cedarbrook Construction Group,Construction,Landscaping,Charlotte,NC,https://www.cedarbrookconstructiongroup.com,(151) 906-4288,info@cedarbrookconstructiongroup.com,38,9690000,1984,https://www.linkedin.com/company/cedarbrookconstructiongroup,press mention,LinkedIn Company Search,"Cedarbrook Construction Group is a landscaping business based in Charlotte, NC, operating in the construction space since 1984."
166,Highland Fabrication,Manufacturing,Precision Machining,Denver,CO,https://www.highlandfabrication.com,(843) 657-5732,info@highlandfabrication.com,172,18730000,1990,https://www.linkedin.com/company/highlandfabrication,,Google Maps,"Highland Fabrication is a precision machining business based in Denver, CO, operating in the manufacturing space since 1990."
167,Ironwood Logistics,Logistics & Distribution,Warehousing,Kansas City,MO,https://www.ironwoodlogistics.com,(675) 544-9449,info@ironwoodlogistics.com,116,18330000,2009,https://www.linkedin.com/company/ironwoodlogistics,recent leadership change;new location opened;expanded service area,Industry Directory,"Ironwood Logistics is a warehousing business based in Kansas City, MO, operating in the logistics & distribution space since 2009."
168,Westbrook Fabrication,Manufacturing,Industrial Equipment,Charlotte,NC,https://www.westbrookfabrication.com,(732) 636-1447,info@westbrookfabrication.com,26,4510000,1987,https://www.linkedin.com/company/westbrookfabrication,new location opened;expanded service area;hiring,Google Maps,"Westbrook Fabrication is a industrial equipment business based in Charlotte, NC, operating in the manufacturing space since 1987."
169,Anchor Health Partners,Healthcare Services,Home Health Care,Austin,TX,https://www.anchorhealthpartners.com,(415) 911-3885,info@anchorhealthpartners.com,113,13370000,2000,https://www.linkedin.com/company/anchorhealthpartners,new location opened;expanded service area;press mention,LinkedIn Company Search,"Anchor Health Partners is a home health care business based in Austin, TX, operating in the healthcare services space since 2000."
170,Timber Foods,Food & Beverage,Craft Beverage,Austin,TX,https://www.timberfoods.com,(457) 225-1255,info@timberfoods.com,186,33370000,2011,,expanded service area;recent leadership change,Industry Directory,"Timber Foods is a craft beverage business based in Austin, TX, operating in the food & beverage space since 2011."
171,Coastal Freight,Logistics & Distribution,Freight Brokerage,Boise,ID,,(951) 755-8443,,35,5570000,1994,https://www.linkedin.com/company/coastalfreight,website redesign,State Business Registry,"Coastal Freight is a freight brokerage business based in Boise, ID, operating in the logistics & distribution space since 1994."
172,Harbor Mechanical,HVAC & Home Services,Roofing,Denver,CO,https://www.harbormechanical.com,(305) 693-9255,info@harbormechanical.com,127,15180000,1998,https://www.linkedin.com/company/harbormechanical,,Industry Directory,"Harbor Mechanical is a roofing business based in Denver, CO, operating in the hvac & home services space since 1998."
173,Meridian Consulting Group,Professional Services,Staffing Agency,Richmond,VA,https://www.meridianconsultinggroup.com,(383) 471-7601,info@meridianconsultinggroup.com,76,6890000,1977,https://www.linkedin.com/company/meridianconsultinggroup,expanded service area;website redesign;press mention,Industry Directory,"Meridian Consulting Group is a staffing agency business based in Richmond, VA, operating in the professional services space since 1977."
174,Meridian Advisors,Professional Services,Marketing Agency,Omaha,NE,https://www.meridianadvisors.com,(787) 737-7886,info@meridianadvisors.com,96,25460000,2012,,recent leadership change;hiring;new location opened,Industry Directory,"Meridian Advisors is a marketing agency business based in Omaha, NE, operating in the professional services space since 2012."
175,Summit Provisions,Food & Beverage,Catering,Charlotte,NC,https://www.summitprovisions.com,(780) 207-7608,info@summitprovisions.com,247,25760000,1986,https://www.linkedin.com/company/summitprovisions,hiring;recent leadership change,LinkedIn Company Search,"Summit Provisions is a catering business based in Charlotte, NC, operating in the food & beverage space since 1986."
